kata name,developer,kata rank,publish date,total stars,no. collections kata part of,times attempted,times skipped,total code submissions,total times completed,total times completed (P),percentage of votes with positive feedback [%],total votes,total very satisfied,total somewhat satisfied,total not satisfied,total rank assessment,average assessed rank,highest assessed rank,lowest assessed rank,tags
Semi-Thue Systems - The Word Problem [Part 1],Dr Gabo,6 kyu,"Feb 14, 2020",3,0,153,30,260,28,28,86,14,11,2,1,10.0,6 kyu,5 kyu,8 kyu,"Algorithms, Mathematics, Numbers"
BECOME IMMORTAL,Voile,1 kyu,"Jul 1, 2017",914,144,22431,1483,18810,1306,161,94,241,216,19,6,3.0,1 kyu,1 kyu,3 kyu,"Algorithms, Puzzles, Games, Dynamic, Programming, Performance"
Capitalization and Mutability,kolohelios,8 kyu,"Jul 2, 2017",65,32,14301,196,24098,11881,"6,917",90,1524,1261,230,33,22.0,7 kyu,7 kyu,8 kyu,"Bugs, Strings, Utilities, Basic, Language, Features, Fundamentals"
Grasshopper - Debug,danleavitt0,8 kyu,"Sep 9, 2015",104,21,20046,674,76107,12790,"6,248",80,1685,1201,297,187,,,,,Bugs
Grasshopper - Messi Goals,danleavitt0,8 kyu,"Aug 13, 2015",108,14,29703,862,40982,21879,"9,692",69,2283,1329,475,479,,,,,"Fundamentals, Variables, Basic, Language, Features"
Parse float,wichu,8 kyu,"Aug 4, 2016",85,21,11570,261,66988,7215,228,85,1103,831,207,65,19.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Numbers"
Double Cola,AlexIsHappy,5 kyu,"Apr 2, 2015",1456,254,49296,12617,220181,13379,"1,337",87,1840,1455,307,78,,,,,"Algorithms, Mathematics, Numbers"
T.T.T.38: The sum of each digits,myjinxin2015,5 kyu,"Aug 15, 2016",32,9,826,34,840,70,39,98,29,28,1,0,5.0,5 kyu,4 kyu,7 kyu,"Puzzles, Games"
Classify a floating point number,trashy_incel,6 kyu,"Jul 24, 2020",15,5,545,20,476,73,35,88,20,15,5,0,4.0,6 kyu,6 kyu,8 kyu,"Fundamentals, Numbers, Floats, Doubles, Basic, Language, Features, Binary"
Simple string reversal II,KenKamau,7 kyu,"Feb 21, 2018",35,14,3793,48,9150,2421,999,92,462,398,54,10,3.0,7 kyu,7 kyu,7 kyu,Algorithms
Simple fibonacci strings,KenKamau,7 kyu,"Mar 10, 2018",25,6,2120,19,2595,1206,365,90,242,197,40,5,5.0,7 kyu,7 kyu,8 kyu,Algorithms
Simple string division,KenKamau,7 kyu,"Aug 27, 2018",36,6,1919,52,3235,573,198,89,159,132,20,7,7.0,7 kyu,7 kyu,8 kyu,Fundamentals
Unusual Cipher,G_kuldeep,5 kyu,"Jul 2, 2020",15,3,247,3,738,54,39,87,19,16,1,2,6.0,5 kyu,2 kyu,8 kyu,"Fundamentals, Ciphers, Algorithms, Cryptography, Security"
Simple number divisibility,KenKamau,6 kyu,"Jun 5, 2018",35,12,1667,53,3527,136,42,91,43,36,6,1,3.0,6 kyu,6 kyu,6 kyu,Fundamentals
Convert integer to Whitespace format,MMMAAANNN,6 kyu,"Jul 25, 2015",54,13,2955,317,4124,1079,437,93,236,206,26,4,,,,,"Fundamentals, Numbers, Binary"
Sum of prime-indexed elements,KenKamau,6 kyu,"Oct 28, 2017",29,5,2573,74,4323,1384,423,93,282,248,31,3,3.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Lists, Data, Structures, Numbers"
Dominant primes,KenKamau,6 kyu,"Sep 29, 2017",21,10,837,24,1379,265,97,91,100,85,12,3,8.0,5 kyu,5 kyu,6 kyu,Fundamentals
Reverse FizzBuzz,dhodson,6 kyu,"Jan 19, 2018",46,13,1241,37,3151,336,168,92,108,92,15,1,5.0,6 kyu,6 kyu,7 kyu,"Puzzles, Games"
Earth-mover's distance,geoffp,6 kyu,"Mar 1, 2017",22,3,458,25,490,33,5,91,16,14,1,1,3.0,6 kyu,6 kyu,6 kyu,"Fundamentals, Algorithms, Numbers, Mathematics, Arrays"
The Skiponacci Sequence,ryancastle,7 kyu,"Oct 19, 2016",16,4,1500,30,3466,834,90,90,291,244,37,10,9.0,6 kyu,6 kyu,7 kyu,"Puzzles, Games, Algorithms"
Simple sum of pairs,KenKamau,6 kyu,"Oct 12, 2018",47,15,2921,91,4286,461,17,89,111,92,14,5,3.0,6 kyu,6 kyu,7 kyu,Fundamentals
Alphabetic Anagrams,Azuaron,3 kyu,"Aug 9, 2014",1012,130,18505,6968,31479,3461,867,96,647,603,38,6,,,,,"Algorithms, Mathematics, Numbers, Strings"
Simple Fun #395: Fibonacci digit sequence,myjinxin2015,6 kyu,"Oct 16, 2018",30,19,964,27,3344,158,69,88,65,53,9,3,5.0,6 kyu,5 kyu,7 kyu,"Puzzles, Games, Fundamentals"
Repetitive Sequence - Easy Version ,G_kuldeep,4 kyu,"Jul 18, 2020",75,12,1456,105,3082,106,88,94,26,23,3,0,5.0,5 kyu,4 kyu,8 kyu,"Fundamentals, Algorithms, Data, Structures"
Ordered Count of Characters,suic,7 kyu,"Aug 7, 2016",176,60,14528,528,32780,6933,"3,183",90,991,816,160,15,9.0,7 kyu,7 kyu,8 kyu,Fundamentals
Bob's Jump,G_kuldeep,7 kyu,"Jun 17, 2020",34,13,1784,63,1153,217,131,71,69,42,14,13,8.0,6 kyu,4 kyu,8 kyu,Fundamentals
Operating System Scheduling #1 : FCFS scheduling,G_kuldeep,6 kyu,"Jul 15, 2020",14,3,190,10,339,36,32,88,20,17,1,2,4.0,6 kyu,6 kyu,8 kyu,Fundamentals
Recursion 101,KenKamau,7 kyu,"Aug 16, 2018",58,11,4104,89,10821,1731,543,84,308,228,63,17,5.0,6 kyu,6 kyu,8 kyu,Fundamentals
Duplicates. Duplicates Everywhere.,bretcameron,6 kyu,"Apr 8, 2020",36,16,1809,52,2736,565,323,92,134,116,15,3,22.0,6 kyu,4 kyu,8 kyu,"Fundamentals, Objects, Arrays, Sets, Sorting, Algorithms"
Multiply to n,tonylicoding,4 kyu,"Jul 22, 2020",56,11,871,43,1375,76,76,86,21,16,4,1,5.0,4 kyu,3 kyu,7 kyu,"Algorithms, Numbers, Mathematics, Algebra, Performance"
3-2-1 Fire!,Dr Gabo,5 kyu,"Apr 13, 2020",13,5,261,9,267,44,44,93,15,13,2,0,4.0,5 kyu,4 kyu,8 kyu,"Algorithms, Games"
Find the sum of the roots of a quadratic equation,Cptnprice,7 kyu,"Sep 10, 2016",17,5,1497,27,2849,813,375,86,256,195,48,13,8.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Numbers, Mathematics, Algorithms"
Short Long Short,Anonymous,8 kyu,"May 18, 2013",92,29,23247,225,39346,20501,"8,116",88,1682,1344,289,49,,,,,Algorithms
Palindrome integer composition,KenKamau,5 kyu,"Aug 21, 2017",39,10,1351,57,2706,225,94,86,50,37,12,1,4.0,5 kyu,5 kyu,6 kyu,"Algorithms, Performance"
Simple remove duplicates,KenKamau,7 kyu,"Sep 20, 2018",105,37,10368,256,19764,4822,207,90,778,645,112,21,51.0,7 kyu,6 kyu,8 kyu,Fundamentals
Simple Fun #44: Three Split,myjinxin2015,5 kyu,"Jan 25, 2017",25,7,700,33,803,143,59,99,35,34,1,0,5.0,5 kyu,4 kyu,6 kyu,"Puzzles, Games, Performance"
 Tangent Lines to a Circle from an External Point,raulbc777,6 kyu,"Sep 25, 2015",21,6,408,49,145,37,37,100,11,11,0,0,4.0,6 kyu,6 kyu,6 kyu,"Fundamentals, Mathematics, Algorithms, Numbers, Geometry, Algebra"
Coefficients of the Quadratic Equation,user7552630,8 kyu,"Aug 18, 2019",59,15,8098,297,7131,3969,"1,895",85,577,442,101,34,57.0,7 kyu,1 kyu,8 kyu,Fundamentals
Cartesian coordinates from degree angle,lokulin,7 kyu,"May 22, 2015",37,5,3298,1080,6479,1242,128,84,181,139,25,17,,,,,"Puzzles, Algorithms, Mathematics, Numbers, Geometry, Algebra"
Will the present fit?,NPN,6 kyu,"Dec 19, 2013",17,2,1180,37,8116,674,438,87,126,102,20,4,4.0,6 kyu,6 kyu,6 kyu,"Algorithms, Hacking, Holidays, Arrays, Utilities"
Halving Sum,Belia,7 kyu,"Jan 12, 2018",82,19,9682,160,17213,6667,"2,436",93,921,795,115,11,3.0,7 kyu,7 kyu,7 kyu,Algorithms
Is n divisible by x and y?,naaz,8 kyu,"May 3, 2015",252,78,62878,2299,105628,51584,"17,843",90,6437,5331,958,148,879.0,7 kyu,1 kyu,8 kyu,Refactoring
Floating-point Approximation (III),g964,7 kyu,"May 28, 2018",34,9,4022,420,2578,591,151,67,180,103,34,43,3.0,7 kyu,7 kyu,8 kyu,Fundamentals
Mirrored Exponential Chunks,n33kos,5 kyu,"Dec 15, 2016",9,2,517,110,644,70,50,92,25,22,2,1,6.0,5 kyu,4 kyu,8 kyu,"Algorithms, Arrays"
Solving a puzzle by matching four corners,tonylicoding,4 kyu,"Jun 27, 2020",45,18,665,75,1880,123,87,100,46,46,0,0,8.0,4 kyu,3 kyu,8 kyu,"Puzzles, Numbers, Games, Performance"
Palindrome Builder,wontonst,6 kyu,"Apr 13, 2017",19,5,596,11,2287,142,142,92,46,40,5,1,10.0,6 kyu,6 kyu,7 kyu,Algorithms
Mongodb ObjectID,user9027523,5 kyu,"Feb 15, 2014",146,34,4751,1753,16197,1224,502,85,174,130,35,9,,,,,"Fundamentals, Mongo, No, Databases, Information, Systems, Regular, Expressions, Declarative, Programming, Advanced, Language, Features, Strings, Validation, Algorithms"
Find Multiples of a Number,Spherixo,8 kyu,"Mar 16, 2017",86,33,13819,352,28326,8722,"4,060",92,1296,1114,161,21,12.0,7 kyu,7 kyu,8 kyu,Fundamentals
Consecutive k-Primes,g964,5 kyu,"May 10, 2016",164,29,9694,5045,6945,1237,61,89,264,216,39,9,8.0,5 kyu,5 kyu,7 kyu,Fundamentals
Esolang: Stick,user2514386,5 kyu,"Jan 25, 2017",24,11,609,169,1678,144,117,86,60,46,11,3,10.0,5 kyu,2 kyu,7 kyu,"Fundamentals, Esoteric, Languages, Stacks, Arrays, Numbers"
Find The Parity Outlier,obnounce,6 kyu,"Apr 9, 2015",1580,300,187464,21924,424622,105064,"12,046",90,13159,10693,2312,154,,,,,Algorithms
Unique digits sequence,KenKamau,5 kyu,"Aug 18, 2017",76,17,1887,88,2380,571,24,94,126,113,12,1,10.0,5 kyu,4 kyu,6 kyu,"Algorithms, Sequences, Arrays"
Positive to negative binary numbers,danCompSci,7 kyu,"Nov 15, 2018",14,5,1091,21,1571,380,82,85,109,87,12,10,8.0,6 kyu,6 kyu,8 kyu,"Fundamentals, Binary, Arrays"
I hate business trips,Dr Gabo,4 kyu,"Apr 20, 2020",23,6,368,31,194,33,33,93,15,13,2,0,4.0,3 kyu,3 kyu,4 kyu,"Algorithms, Optimization"
Hypercube Lists,Wintro,4 kyu,"Mar 16, 2018",23,3,398,89,404,45,45,97,15,14,1,0,5.0,4 kyu,3 kyu,6 kyu,"Algorithms, Lists, Data, Structures, Recursion, Computability, Theory, Theoretical, Computer, Science, Optimization"
Plus - minus - plus - plus - ... - Count,kdmatrosov,7 kyu,"Oct 8, 2018",40,5,4291,99,12896,2444,886,91,521,438,75,8,7.0,7 kyu,7 kyu,8 kyu,Fundamentals
Minimal Cost Binary Search Trees,ecolban,3 kyu,"Apr 22, 2016",36,8,655,193,579,36,36,92,13,11,2,0,2.0,3 kyu,3 kyu,4 kyu,"Fundamentals, Algorithms, Binary, Search, Trees, Trees, Binary, Data, Structures"
Equal Sides Of An Array,Shivo,6 kyu,"Dec 22, 2015",1882,353,156720,30156,280882,63604,"5,078",91,8933,7425,1404,104,,,,,"Fundamentals, Algorithms, Arrays"
String prefix and suffix,KenKamau,7 kyu,"May 25, 2019",29,11,2274,39,4292,1025,338,90,235,195,34,6,5.0,7 kyu,7 kyu,7 kyu,Fundamentals
Most valuable character,KenKamau,7 kyu,"Nov 20, 2019",49,9,2940,63,7681,1091,454,86,323,246,61,16,23.0,6 kyu,5 kyu,8 kyu,Fundamentals
Indexed capitalization,KenKamau,7 kyu,"Sep 30, 2017",73,30,7395,399,18494,4731,"1,436",90,834,685,127,22,14.0,7 kyu,7 kyu,7 kyu,Fundamentals
Directions Reduction,g964,5 kyu,"Mar 22, 2015",2912,578,116240,26119,338974,44635,"1,971",88,5350,4282,881,187,,,,,Fundamentals
Tetris Series #1 — Scoring System,Etoneja,7 kyu,"Oct 18, 2019",68,19,2737,26,7944,1320,692,93,277,244,26,7,12.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Games, Algorithms, Basic, Language, Features, Loops, Control, Flow, Arrays"
Aerial Firefighting,coderors,7 kyu,"Jun 24, 2019",18,10,853,9,2807,501,467,93,130,115,12,3,17.0,7 kyu,6 kyu,8 kyu,"Algorithms, Strings, Puzzles, Games"
Evenly distribute values in array,Peter Rhodes,7 kyu,"Oct 3, 2018",23,7,1631,38,2948,341,224,78,92,65,14,13,6.0,6 kyu,6 kyu,7 kyu,"Algorithms, Arrays, Sorting"
Bit Counting,xcthulhu,6 kyu,"Oct 21, 2013",1213,224,210926,30351,280732,107518,"4,881",87,14462,11079,3114,269,,,,,"Algorithms, Bits, Binary"
Emirps,raulbc777,5 kyu,"Aug 27, 2015",93,13,3847,1857,8253,812,189,92,190,163,22,5,9.0,5 kyu,5 kyu,7 kyu,"Algorithms, Fundamentals, Mathematics, Numbers, Data, Structures"
Fractran Interpreter,lsnbr,7 kyu,"May 18, 2020",3,2,289,9,270,83,83,78,30,21,5,4,9.0,6 kyu,5 kyu,8 kyu,"Algorithms, Interpreters"
Hide a message in a deck of playing cards,Zwyx,4 kyu,"Sep 14, 2017",63,12,626,144,1235,76,18,93,36,31,5,0,3.0,4 kyu,4 kyu,5 kyu,"Algorithms, Cryptography, Security, Mathematics, Numbers, Games, Permutations"
Bus Timer,dank4000,7 kyu,"May 13, 2016",23,5,1433,24,5890,356,192,86,74,59,9,6,6.0,6 kyu,5 kyu,8 kyu,"Fundamentals, Parsing, Algorithms, Strings"
Floating-point Approximation (I),g964,6 kyu,"Nov 1, 2016",63,25,6268,1550,4962,778,33,79,187,128,41,18,11.0,6 kyu,4 kyu,7 kyu,"Fundamentals, Mathematics, Algorithms, Numbers"
Going to zero or to infinity?,g964,5 kyu,"Jul 12, 2015",422,61,17123,5453,84084,3648,103,84,572,417,123,32,,,,,"Algorithms, Mathematics, Numbers"
Largest pair sum in array,sudheer594,7 kyu,"May 24, 2015",39,10,5359,283,10135,3714,"2,632",93,607,528,67,12,,,,,Fundamentals
Hamming Numbers,xcthulhu,4 kyu,"Oct 27, 2013",750,96,23089,8795,41341,5117,"1,134",88,583,468,93,22,,,,,"Algorithms, Arithmetic, Mathematics, Numbers"
Find the Missing Number,blu12758,7 kyu,"Oct 6, 2016",37,10,2417,36,5202,1296,456,93,283,246,35,2,8.0,7 kyu,7 kyu,7 kyu,Algorithms
Alternate capitalization,KenKamau,7 kyu,"Sep 30, 2017",180,65,21236,1252,41069,12943,"3,999",93,1633,1416,197,20,14.0,7 kyu,7 kyu,7 kyu,"Fundamentals, Strings"
Product Partitions I,raulbc777,6 kyu,"Oct 6, 2015",14,8,612,50,1021,62,54,57,22,11,3,8,6.0,5 kyu,4 kyu,7 kyu,"Fundamentals, Algorithms, Mathematics, Numbers, Control, Flow, Basic, Language, Features"
C.Wars,debri,7 kyu,"Jul 3, 2015",43,14,3078,79,5670,2160,865,92,329,282,44,3,,,,,"Fundamentals, Strings, Regular, Expressions, Declarative, Programming, Advanced, Language, Features"
Find Product Partitions With Maximum or Minimum Score,raulbc777,4 kyu,"Apr 25, 2016",28,4,426,84,514,39,39,88,12,9,3,0,4.0,4 kyu,3 kyu,5 kyu,"Fundamentals, Data, Structures, Algorithms, Control, Flow, Basic, Language, Features, Mathematics, Numbers, Declarative, Programming, Optimization"
Simple Fun #358: Vertical Histogram Of Letters,myjinxin2015,5 kyu,"Sep 30, 2017",33,12,825,95,2996,335,108,94,96,87,7,2,5.0,5 kyu,4 kyu,6 kyu,Fundamentals
"Linear equations N x M, complete solution space, fraction representation",smile67,2 kyu,"Nov 17, 2015",52,14,882,252,693,64,13,97,17,16,1,0,4.0,2 kyu,1 kyu,4 kyu,"Algorithms, Linear, Algebra, Algebra, Mathematics, Numbers"
No Order of Operations,tonylicoding,6 kyu,"Apr 20, 2020",6,2,522,18,2065,211,145,89,82,67,12,3,29.0,6 kyu,5 kyu,8 kyu,"Algorithms, Mathematics, Numbers"
Is There an Odd Bit?,mtruong1999,7 kyu,"Sep 5, 2019",32,10,3744,99,9001,1452,216,86,277,214,47,16,34.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Bits, Binary"
Evaluating prefix Polish notation,interphx,6 kyu,"Mar 1, 2020",17,5,682,44,1936,223,106,88,61,50,7,4,20.0,6 kyu,4 kyu,8 kyu,"Fundamentals, Parsing, Algorithms, Strings, Mathematics, Numbers, Lists, Data, Structures"
London CityHacker,HThanki,7 kyu,"Nov 1, 2018",33,14,2800,58,7950,1111,714,87,228,179,40,9,8.0,7 kyu,6 kyu,8 kyu,Fundamentals
Assorted Rectangular Pieces Puzzle,docgunthrop,2 kyu,"Mar 2, 2018",38,12,659,134,994,49,29,95,10,9,1,0,3.0,1 kyu,1 kyu,2 kyu,"Algorithms, Puzzles, Games, Performance"
Sliding Puzzle Verification,abramgornik,7 kyu,"Jan 22, 2020",13,5,884,20,1930,541,201,90,158,132,19,7,45.0,6 kyu,4 kyu,8 kyu,"Puzzles, Games"
Message from Aliens,dcieslak,6 kyu,"Aug 8, 2017",82,13,4891,240,7288,498,154,85,161,122,31,8,8.0,6 kyu,4 kyu,7 kyu,"Fundamentals, Puzzles, Games"
Grocer Grouping,ksami,6 kyu,"Jun 10, 2017",13,4,829,10,2306,475,184,88,105,83,18,4,12.0,6 kyu,6 kyu,7 kyu,Fundamentals
Polydivisible Numbers,ChristianECooper,4 kyu,"May 24, 2015",167,18,4121,2018,7828,500,301,95,100,90,9,1,,,,,"Algorithms, Arithmetic, Mathematics, Numbers"
RPG Simulator - Defeat the Demon Lord! [Part 1],Dr Gabo,4 kyu,"Apr 15, 2020",25,9,323,18,556,34,34,92,19,17,1,1,4.0,4 kyu,4 kyu,5 kyu,"Algorithms, Games"
Can you win the codewar ?,trashy_incel,6 kyu,"Feb 10, 2020",68,11,1432,60,4205,182,48,89,52,42,9,1,12.0,5 kyu,4 kyu,8 kyu,"Algorithms, Arrays"
Church Booleans,PaulBlanche,5 kyu,"Apr 9, 2018",36,14,1933,142,3623,423,225,91,95,81,11,3,20.0,5 kyu,4 kyu,7 kyu,"Fundamentals, Lambdas, Functional, Programming, Functions, Declarative, Programming, Control, Flow, Basic, Language, Features"
"Multiply by a number, so it becomes a perfect power",tonylicoding,6 kyu,"Jun 17, 2020",19,6,809,33,1945,125,116,89,48,40,5,3,4.0,6 kyu,6 kyu,8 kyu,"Algorithms, Numbers, Mathematics, Algebra"
Round up to the next multiple of 5,hwtdstrngls,7 kyu,"Aug 17, 2015",136,44,17867,2014,35239,11345,"3,844",93,1750,1523,205,22,459.0,7 kyu,1 kyu,8 kyu,Fundamentals
search in multidimensional array,bakula,6 kyu,"Nov 13, 2013",45,9,2412,230,15176,1181,836,93,204,179,21,4,,,,,"Algorithms, Search, Arrays"
Family Relations,fatherof4,7 kyu,"May 5, 2020",24,4,713,45,1074,107,107,84,34,26,5,3,6.0,7 kyu,6 kyu,8 kyu,"Algorithms, Trees, Data, Structures, Search"
Binding of Algebraic Data Types,Dr Gabo,6 kyu,"Feb 19, 2020",5,0,207,29,320,24,24,85,10,8,1,1,9.0,6 kyu,5 kyu,8 kyu,"Algorithms, Functional, Programming, Declarative, Programming"
The Vowel Code,yaphi1,6 kyu,"May 7, 2014",166,35,11175,613,23311,7585,"3,553",91,920,769,133,18,,,,,"Fundamentals, Arrays, Strings, Functions, Control, Flow, Basic, Language, Features, Regular, Expressions, Declarative, Programming, Advanced, Language, Features"
Grasshopper - Create the rooms,danleavitt0,8 kyu,"Jan 22, 2016",43,-2,8281,150,8801,4350,"3,054",75,728,469,158,101,53.0,7 kyu,5 kyu,8 kyu,Fundamentals
Ulam Sequences (performance edition),Blind4Basics,5 kyu,"Apr 8, 2018",21,11,574,23,2157,70,54,92,26,23,2,1,3.0,5 kyu,5 kyu,5 kyu,"Refactoring, Algorithms"
Histogram data,Jenik,7 kyu,"Apr 6, 2016",6,4,466,15,836,179,83,92,58,50,7,1,10.0,6 kyu,6 kyu,7 kyu,"Algorithms, Fundamentals, Arrays, Basic, Language, Features"
[Minecraft Series #2] Minimum amount of fuel needed to get some iron ingots,arwengu,6 kyu,"Nov 26, 2016",24,4,973,31,1502,499,217,90,106,87,17,2,9.0,6 kyu,6 kyu,8 kyu,Fundamentals
Toothpick Sequence,dasoca,6 kyu,"Dec 28, 2018",12,3,549,83,463,70,70,75,30,18,9,3,9.0,6 kyu,4 kyu,8 kyu,"Algorithms, Mathematics, Numbers, Sequences, Arrays, Recursion, Computability, Theory, Theoretical, Computer, Science"
Simple prime streaming,KenKamau,6 kyu,"Feb 24, 2018",73,18,3027,112,4635,1029,303,87,228,176,44,8,27.0,6 kyu,5 kyu,8 kyu,Algorithms
The reject() function,user5363957,7 kyu,"Nov 29, 2013",47,7,6218,806,12366,3526,"2,802",89,335,269,55,11,8.0,7 kyu,7 kyu,8 kyu,"Fundamentals, Arrays"
Hint a Type,Admiraal,6 kyu,"Jun 6, 2020",12,7,548,11,441,32,32,85,13,9,4,0,4.0,6 kyu,5 kyu,8 kyu,"Algorithms, Recursion, Computability, Theory, Theoretical, Computer, Science"
Normalizing Out of Range Array Indexes,NPN,6 kyu,"Nov 16, 2013",19,1,949,14,4743,609,357,93,144,126,16,2,,,,,"Algorithms, Arrays"
Scrabble Score,noku,7 kyu,"Jun 28, 2015",42,11,3282,93,7155,2032,387,89,280,233,34,13,,,,,"Fundamentals, Strings, Parsing, Algorithms"
Say hello!,nakulgupta18,7 kyu,"Jul 2, 2015",23,7,5573,362,17089,4371,744,87,723,558,137,28,141.0,7 kyu,1 kyu,8 kyu,Fundamentals
String Letter Counting,MinimumEntropy,6 kyu,"Oct 14, 2017",42,11,3413,119,6896,2099,431,93,369,321,42,6,4.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Strings, Sorting, Algorithms"
Series of integers from m to n,buttonupbub,7 kyu,"Dec 2, 2016",16,4,3960,45,6173,3368,"1,672",90,623,523,74,26,14.0,7 kyu,7 kyu,8 kyu,Fundamentals
Decode Diagonal,nsmith7989,6 kyu,"Jul 26, 2015",21,6,1119,24,3035,332,205,89,93,75,16,2,,,,,Algorithms
To BrainFuck Transpiler,ZED.CWT,1 kyu,"Nov 1, 2017",199,42,9104,660,2210,122,55,96,26,25,0,1,4.0,1 kyu,1 kyu,2 kyu,"Fundamentals, Esoteric, Languages, Parsing, Algorithms, Strings"
Orthogonal Vectors,user3043623,7 kyu,"May 5, 2014",15,4,1639,26,2772,1149,107,91,234,196,34,4,30.0,6 kyu,6 kyu,8 kyu,"Algorithms, Physics, Mathematics, Numbers"
Sort sentence pseudo-alphabetically,Daremyth,6 kyu,"Jan 22, 2014",31,12,2108,125,6693,1144,346,91,205,174,25,6,12.0,6 kyu,5 kyu,7 kyu,"Algorithms, Sorting, Strings"
Does my number look big in this?,JulianNicholls,6 kyu,"Nov 16, 2013",619,127,96683,11856,188983,57871,"3,868",91,6390,5281,1026,83,,,,,"Algorithms, Numbers"
field chained HTML formatting ,gelus,5 kyu,"Apr 16, 2020",110,38,2367,70,3315,262,135,92,53,45,7,1,8.0,5 kyu,4 kyu,8 kyu,"Puzzles, Objects, Prototypes, Advanced, Language, Features, Fundamentals, Formatting, Algorithms, Inheritance, Object, Programming, Polymorphism"
Sum and Rest the Number with its Reversed and See What Happens,raulbc777,5 kyu,"Sep 24, 2015",57,11,2344,253,7082,693,423,84,140,103,30,7,12.0,5 kyu,4 kyu,6 kyu,"Fundamentals, Mathematics, Algorithms, Numbers, Memoization, Design, Patterns, Design, Principles, Dynamic, Programming"
A Simplistic TCP Finite State Machine (FSM),oldccoder,4 kyu,"Jan 8, 2015",235,37,5714,1941,7668,2111,751,82,357,250,88,19,,,,,"Algorithms, State, Machines, Computational, Science, Theoretical, Computer, Science, Design, Patterns"
Convert A Hex String To RGB,Krxtopher,5 kyu,"Nov 12, 2013",115,34,6146,696,9180,3905,"2,505",92,505,430,72,3,,,,,"Algorithms, Parsing, Strings"
Find the Nth Catalan number,user4790725,6 kyu,"Jul 25, 2016",8,2,772,83,2097,274,71,82,66,47,14,5,9.0,6 kyu,5 kyu,8 kyu,"Algorithms, Big, Integers, Integers, Numbers, Mathematics"
Reorder Array 2,Beast,6 kyu,"Dec 31, 2017",12,2,725,124,798,277,277,84,77,60,10,7,18.0,6 kyu,6 kyu,7 kyu,"Fundamentals, Numbers, Integers, Loops, Control, Flow, Basic, Language, Features, Advanced, Language, Featuresnumpy, Python, Packages"
Apply offset to subtitles,teoriachaosu,6 kyu,"Feb 14, 2020",23,2,766,26,2396,230,26,86,66,51,12,3,17.0,6 kyu,1 kyu,8 kyu,"Fundamentals, Strings, Dates, Time"
Basic physics problem - Space -Kinematics,polyccon,6 kyu,"Mar 29, 2017",20,1,575,31,1673,118,38,77,22,15,4,3,8.0,6 kyu,5 kyu,8 kyu,"Fundamentals, Physics, Algorithms"
HTML Element Generator,beniolenio,6 kyu,"Mar 23, 2020",9,3,389,25,292,87,87,89,32,26,5,1,11.0,6 kyu,6 kyu,8 kyu,Fundamentals
Web Scraping: Find Every Link to Another Wikipedia Article in a Wikipedia Article,beniolenio,6 kyu,"May 25, 2020",23,6,350,1,736,53,53,85,23,18,3,2,8.0,6 kyu,5 kyu,8 kyu,Fundamentals
Chess Fun # 13 : RegEx Like a Boss #1 : Valid Pawn Moves,sgerodes,5 kyu,"Dec 17, 2018",15,7,350,75,222,37,37,92,12,10,2,0,3.0,5 kyu,4 kyu,7 kyu,"Algorithms, Regular, Expressions, Declarative, Programming, Advanced, Language, Features, Fundamentals, Strings"
Enumerable Magic #5- True for Just One?,bellmyer,7 kyu,"Nov 5, 2014",34,9,4882,222,8039,2964,748,92,540,468,57,15,9.0,7 kyu,7 kyu,8 kyu,Fundamentals
Covered pawns,elephantcastle2,6 kyu,"Jul 29, 2017",9,3,537,8,1395,180,101,87,52,39,12,1,6.0,6 kyu,5 kyu,7 kyu,Fundamentals
Increment with iterations,Sicely,6 kyu,"May 25, 2020",13,4,660,11,1150,139,78,89,37,31,4,2,12.0,6 kyu,4 kyu,8 kyu,"Algorithms, Numbers, Loops, Control, Flow, Basic, Language, Features, Fundamentals"
Find the Capitals,ogryzek,7 kyu,"Apr 24, 2014",70,12,10128,1653,22613,5882,535,87,500,394,82,24,,,,,"Fundamentals, Hashes, Data, Structures"
Last digit of a huge number,Bodigrim,3 kyu,"Mar 30, 2015",949,195,20691,4076,90145,3276,106,87,578,469,73,36,,,,,"Algorithms, Numbers, Mathematics, Arithmetic, Integers"
Complete Series,RoninGonan,7 kyu,"Oct 21, 2016",28,11,2640,56,6810,1647,661,87,391,310,63,18,10.0,7 kyu,6 kyu,8 kyu,"Fundamentals, Lists, Data, Structures, Arrays"
Screen Locking Patterns,rsalgado,3 kyu,"Dec 20, 2016",559,121,11110,2723,12883,1929,442,96,390,359,28,3,8.0,3 kyu,3 kyu,4 kyu,"Algorithms, Mathematics, Numbers, Geometry, Algebra, Graphs, Data, Structures"
Switch the Bulb--Play game Series #10,myjinxin2015,3 kyu,"Mar 2, 2018",36,13,1128,304,1496,121,74,97,38,36,2,0,3.0,3 kyu,3 kyu,4 kyu,"Puzzles, Games"
